EB_EB_INdt;SM1;SM2;SM3;SM4;SM5
14.05.2017;0,348609066;0,325495698;0,342064379;0,376932472;0,329580945
15.05.2017;0,349307277;0,325483007;0,340742155;0,43058004;0,32921586
16.05.2017;0,347359603;0,325779282;0,33835396;0,419754911;0,323682074
17.05.2017;0,341346977;0,322985774;0,334657015;0,407172385;0,316222538
18.05.2017;0,332338255;0,321740368;0,329473793;0,399515921;0,310878302
19.05.2017;0,336355152;0,322137139;0,330823357;0,437703526;0,313075181
20.05.2017;0,345679869;0,329726414;0,334305275;0,473184537;0,323532506
21.05.2017;0,363121948;0,329751011;0,33115046;0,468609092;0,320966861
22.05.2017;0,382276849;0,327901625;0,330067781;0,449076313;0,316249282
23.05.2017;0,372531298;0,324570349;0,32634285;0,430927507;0,311387142
24.05.2017;0,374765678;0,322706704;0,327815742;0,43077271;0,311475583
25.05.2017;0,401239484;0,333259181;0,338108943;0,498599382;0,327201875
26.05.2017;0,385978742;0,329169352;0,330694429;0,460530336;0,317781238
27.05.2017;0,369369194;0,323958242;0,323444715;0,421877618;0,309782838
28.05.2017;0,347835549;0,318135919;0,311707089;0,380528922;0,300887313
29.05.2017;0,324727225;0,311905493;0,297035907;0,346024456;0,291070549
30.05.2017;0,309405723;0,304737927;0,288981364;0,326086116;0,281159736
31.05.2017;0,385177585;0,324923151;0,334622442;0,449150783;0,314430621
01.06.2017;0,391258035;0,331849917;0,334790051;0,45493659;0,323946749
02.06.2017;0,407559799;0,338308953;0,342013331;0,477183548;0,334628842
03.06.2017;0,403701031;0,338309066;0,335879592;0,455341806;0,328801013
04.06.2017;0,408271271;0,338178481;0,340050271;0,469236241;0,332305924
05.06.2017;0,414497656;0,339355267;0,341688481;0,478765728;0,334056637
06.06.2017;0,421623781;0,338744066;0,348552925;0,492222172;0,337248812
07.06.2017;0,415674029;0,339137815;0,33738435;0,470992235;0,331146219
08.06.2017;0,409308634;0,336057553;0,330850834;0,446498888;0,324468919
09.06.2017;0,400667129;0,331230661;0,326013591;0,414061713;0,317808262
10.06.2017;0,404829208;0,331374099;0,330641749;0,419092616;0,318800355
11.06.2017;0,380098112;0,327851068;0,321407293;0,37566981;0,311821786
12.06.2017;0,357461484;0,323359676;0,311252656;0,337544741;0,303526494
13.06.2017;0,332584566;0,317896627;0,299252138;0,295425405;0,291554995
14.06.2017;0,300437117;0,309079745;0,282865243;0,251113442;0,276250497
15.06.2017;0,290522871;0,29549002;0,285827699;0,26250156;0,263113389
16.06.2017;0,379570083;0,314496334;0,337483196;0,374576859;0,289729411
17.06.2017;0,363413647;0,325081328;0,322372598;0,348748567;0,304889166
18.06.2017;0,338802239;0,318906404;0,310155298;0,312854259;0,294554308
19.06.2017;0,303337403;0,310646693;0,293988115;0,265473442;0,279958744
20.06.2017;0,269647671;0,298317239;0,27671486;0,226814631;0,263288848
21.06.2017;0,256123506;0,282363179;0,263384875;0,208155314;0,248009819
22.06.2017;0,235054373;0,270648757;0,250070678;0,192881887;0,232899734
23.06.2017;0,204024449;0,253982497;0,137974559;0,169198248;0,132843783
24.06.2017;0,19869303;0,269185927;0,094037917;0,159269441;0,098838112
25.06.2017;0,261339363;0,263216711;0,155800829;0,230180484;0,107398593
26.06.2017;0,284451197;0,26736522;0,180049304;0,250390673;0,11246012
27.06.2017;0,336760034;0,271505202;0,196199947;0,312198489;0,129719051
28.06.2017;0,344026037;0,282111743;0,197452918;0,321656457;0,14804835
29.06.2017;0,372536369;0,332694888;0,204553081;0,353953113;0,220755126
30.06.2017;0,360402229;0,356934623;0,203281972;0,35126659;0,223924296
01.07.2017;0,360961057;0,363800306;0,203026481;0,350858217;0,221683974
02.07.2017;0,360792598;0,363252814;0,200950459;0,347109681;0,221481092
03.07.2017;0,36704966;0,367091953;0,204090211;0,371592189;0,227813623
04.07.2017;0,356756412;0,364630526;0,200671844;0,361848961;0,220077814
05.07.2017;0,339284846;0,356614099;0,19644542;0,345577685;0,212373336
06.07.2017;0,330639028;0,350444147;0,193503319;0,328347044;0,207476868
07.07.2017;0,322446918;0,346419504;0,194356674;0,312155886;0,204750738
08.07.2017;0,38526583;0,372639627;0,207798453;0,394908741;0,23579151
09.07.2017;0,383051389;0,373461735;0,206176157;0,393830366;0,238479325
10.07.2017;0,396177307;0,378400967;0,208806984;0,409281359;0,250541152
11.07.2017;0,400311912;0,380303529;0,209029795;0,412368427;0,254544902
12.07.2017;0,3943502;0,377502695;0,207964077;0,403239694;0,248364198
13.07.2017;0,403135258;0,382727166;0,210936729;0,412069348;0,257541266
14.07.2017;0,409939138;0,383216677;0,210551186;0,416574251;0,261604532
15.07.2017;0,410859957;0,385917858;0,208518671;0,41560594;0,261516732
16.07.2017;0,399234426;0,378419086;0,206679064;0,397123881;0,247912661
17.07.2017;0,386946975;0,370869826;0,205942448;0,381032078;0,238612799
18.07.2017;0,373130472;0,363691542;0,204205613;0,369119702;0,231304186
19.07.2017;0,381177075;0,368203388;0,208806494;0,380874262;0,237914483
20.07.2017;0,419324461;0,387443973;0,215587765;0,424873801;0,272654666
21.07.2017;0,423106464;0,38316298;0,212270214;0,412209972;0,265191965
22.07.2017;0,421935283;0,379122508;0,211521356;0,415258907;0,260698197
23.07.2017;0,440376595;0,386460001;0,214230982;0,437891387;0,272166165
24.07.2017;0,452429965;0,387399878;0,216972459;0,448785209;0,279558992
25.07.2017;0,453820003;0,389088095;0,213076211;0,447791953;0,279531255
26.07.2017;0,478014806;0,393147279;0,219816862;0,466040201;0,288510087
27.07.2017;0,444739734;0,385672769;0,208976372;0,438416339;0,271638071
28.07.2017;0,449299025;0,387393521;0,212284714;0,444678368;0,276034589
29.07.2017;0,43834353;0,383206699;0,215242863;0,431920777;0,267779927
30.07.2017;0,445629581;0,382066418;0,230506059;0,426263323;0,272036696
31.07.2017;0,44220792;0,384339926;0,234148384;0,424402915;0,273365273
01.08.2017;0,420483263;0,376346848;0,243760909;0,406215061;0,260819459
02.08.2017;0,396911846;0,368360727;0,269928346;0,392350585;0,249805457
03.08.2017;0,369132433;0,361979308;0,271895151;0,370531465;0,241353136
04.08.2017;0,343146398;0,353414212;0,263977929;0,342824049;0,232794029
05.08.2017;0,342385525;0,347755596;0,266370075;0,33593759;0,228521395
06.08.2017;0,4272108;0,368600247;0,307342046;0,413507377;0,260388682
07.08.2017;0,423990211;0,37880344;0,308650914;0,425924524;0,278648788
08.08.2017;0,423570668;0,378286976;0,3043518;0,425693336;0,274437806
09.08.2017;0,461123224;0,390131816;0,32253173;0,458384294;0,294323069
10.08.2017;0,466926091;0,39132032;0,328297967;0,457583568;0,293664106
11.08.2017;0,467751053;0,388138316;0,333025394;0,458723871;0,295898405
12.08.2017;0,457869314;0,386232352;0,327732688;0,453765252;0,292685545
13.08.2017;0,445758308;0,381525833;0,319669157;0,437024367;0,282486129
14.08.2017;0,43082329;0,375635221;0,316048878;0,418620837;0,273483399
15.08.2017;0,417657018;0,372386221;0,310849703;0,406194147;0,267182599
16.08.2017;0,455594544;0,387230855;0,333651936;0,451523049;0,294603071
17.08.2017;0,457302153;0,379851461;0,323534669;0,428563696;0,281986634
18.08.2017;0,449182562;0,375914942;0,323305182;0,419286641;0,276434581
19.08.2017;0,534547506;0,395220377;0,350985351;0,472995085;0,308373888
20.08.2017;0,520694962;0,385717715;0,337935613;0,447273968;0,294954679
21.08.2017;0,503726915;0,380885625;0,329883657;0,432839664;0,287073105
22.08.2017;0,483053724;0,374619449;0,32542655;0,418258242;0,280138211
23.08.2017;0,449803566;0,368933589;0,319402594;0,400185907;0,27189372
24.08.2017;0,450588925;0,370769467;0,324005376;0,402340775;0,273554489
25.08.2017;0,503921366;0,383430918;0,345109926;0,439595521;0,298900327
26.08.2017;0,471959756;0,376859414;0,334999057;0,417273195;0,288634678
27.08.2017;0,441807414;0,370968719;0,324726662;0,397302097;0,28915752
28.08.2017;0,421308008;0,36564446;0,320507702;0,381535954;0,303709847
29.08.2017;0,412863001;0,362266696;0,326503594;0,372237219;0,310843291
30.08.2017;0,373347071;0,357656461;0,308732497;0,346047181;0,308704822
31.08.2017;0,40985469;0,363773657;0,321456083;0,373359284;0,30945507
01.09.2017;0,546974684;0,398663946;0,367139031;0,47000508;0,359893976
02.09.2017;0,57655598;0,411934466;0,377385254;0,486251794;0,364767248
03.09.2017;0,552223503;0,401488193;0,364938951;0,470434215;0,357706226
04.09.2017;0,510199405;0,38868547;0,345129076;0,446132298;0,348001995
05.09.2017;0,517988748;0,391954641;0,347485061;0,452842194;0,350937145
06.09.2017;0,520708189;0,391489305;0,350175576;0,453086818;0,351209885
07.09.2017;0,517676833;0,389653585;0,345700134;0,450386448;0,350221278
08.09.2017;0,505319626;0,383190504;0,339828201;0,43688087;0,34515788
09.09.2017;0,508392394;0,382032348;0,340798948;0,433491599;0,343971281
10.09.2017;0,546650461;0,396542989;0,355275112;0,465952509;0,35564909
11.09.2017;0,52183251;0,389746253;0,347169312;0,448328317;0,3509491
12.09.2017;0,527492799;0,39180172;0,349402362;0,457845895;0,364097053
13.09.2017;0,505177498;0,387656944;0,34230084;0,440252541;0,359244656
14.09.2017;0,523435133;0,393756289;0,350506711;0,453385298;0,363489225
15.09.2017;0,51263115;0,392786394;0,346677162;0,449607181;0,361289141
16.09.2017;0,54146127;0,399279887;0,357504535;0,473307445;0,368241011
17.09.2017;0,538554893;0,397742479;0,356139243;0,466601644;0,366706403
18.09.2017;0,530976323;0,395737522;0,35311509;0,458063402;0,363577719
19.09.2017;0,550865901;0,395282694;0,358323178;0,476401418;0,368240833
20.09.2017;0,550653642;0,396825996;0,358565567;0,476955016;0,36733656
21.09.2017;0,529634677;0,387120378;0,346842657;0,453889229;0,359597675
22.09.2017;0,524256392;0,383684443;0,343519686;0,44635966;0,357343874
23.09.2017;0,518031965;0,380422878;0,341501644;0,440747602;0,354651025
24.09.2017;0,532221308;0,382005123;0,345539117;0,449577163;0,358235392
25.09.2017;0,525696491;0,378278763;0,344729178;0,444981225;0,356893817
26.09.2017;0,521447619;0,375260253;0,347766329;0,440858274;0,355128297
27.09.2017;0,514453391;0,370824453;0,348562109;0,409343793;0,353683138
28.09.2017;0,510152193;0,369369667;0,345447644;0,39247218;0,352095527
29.09.2017;0,504324429;0,368229634;0,343172872;0,391284758;0,350511639
30.09.2017;0,512739335;0,369599276;0,347734878;0,402918661;0,351969596
01.10.2017;0,581547966;0,397499564;0,367592545;0,4604158;0,373696222
