FE_GW_EXdt;SM1;SM2;SM3;SM4;SM5
07.06.2017;0,358991182;0,464534076;0,353099635;0,309693744;0,472270463
08.06.2017;0,340433197;0,412029137;0,349745411;0,302630712;0,440048934
09.06.2017;0,332530186;0,400219748;0,349248092;0,307851756;0,429806287
10.06.2017;0,343303933;0,401725341;0,350521819;0,315673839;0,425426261
11.06.2017;0,334986089;0,39374488;0,349077912;0,313445273;0,416614342
12.06.2017;0,337698174;0,391321886;0,352415872;0,323773395;0,414732447
13.06.2017;0,352822984;0,404361943;0,356259242;0,341210308;0,450580433
14.06.2017;0,334192264;0,390321121;0,349937257;0,326681935;0,426641716
15.06.2017;0,314627422;0,377998304;0,345659579;0,312751401;0,41443134
16.06.2017;0,336077685;0,390860786;0,351859932;0,355784629;0,450200444
17.06.2017;0,323700149;0,381266332;0,347914545;0,344509802;0,415455723
18.06.2017;0,295233448;0,366117871;0,337982625;0,318189187;0,404641364
19.06.2017;0,263852972;0,348176724;0,313728235;0,287292215;0,385011945
20.06.2017;0,241655735;0,326617839;0,280419576;0,260864603;0,364444814
21.06.2017;0,226036463;0,303618902;0,253671489;0,241660154;0,347474399
22.06.2017;0,215230441;0,280686793;0,234170344;0,227945143;0,333747187
23.06.2017;0,204278968;0,25580313;0,214633558;0,212442525;0,311500517
24.06.2017;0,197639511;0,238240205;0,202889771;0,202416195;0,28921899
25.06.2017;0,195797306;0,231233994;0,235149918;0,224127027;0,288772298
26.06.2017;0,199342447;0,228392404;0,24420684;0,232917784;0,279877245
27.06.2017;0,23917918;0,22750625;0,313053043;0,280944635;0,277343501
28.06.2017;0,242761258;0,226635322;0,306794496;0,278047722;0,2760185
29.06.2017;0,27726953;0,295119669;0,335686254;0,279352909;0,363817862
30.06.2017;0,256884202;0,35368899;0,324454218;0,269184883;0,388547623
01.07.2017;0,244015508;0,341530433;0,30641207;0,254566773;0,372807229
02.07.2017;0,240220751;0,331997459;0,300956058;0,25430403;0,363720913
03.07.2017;0,263588772;0,344226571;0,331846648;0,278874929;0,374631105
04.07.2017;0,245811836;0,335102489;0,307218011;0,258750996;0,367038896
05.07.2017;0,231227309;0,314927618;0,26891607;0,24474632;0,34483577
06.07.2017;0,22072648;0,293410726;0,236930232;0,23805042;0,325330723
07.07.2017;0,221477639;0,287746186;0,237591957;0,241279011;0,319054314
08.07.2017;0,275472576;0,371536586;0,335042252;0,308440353;0,410329343
09.07.2017;0,267294249;0,356151617;0,33038802;0,30584964;0,388362964
10.07.2017;0,271260922;0,357852733;0,333421468;0,308586427;0,385255801
11.07.2017;0,262677162;0,348707078;0,319210049;0,301205995;0,375420471
12.07.2017;0,260725989;0,337077218;0,309957845;0,298233024;0,370931411
13.07.2017;0,251370395;0,323815176;0,28827197;0,282401217;0,352788017
14.07.2017;0,255990612;0,314664537;0,294838334;0,297142068;0,341887018
15.07.2017;0,274569301;0,30911579;0,318470547;0,310050455;0,33971367
16.07.2017;0,254801783;0,301885707;0,286653485;0,282182158;0,327141328
17.07.2017;0,23637704;0,290070594;0,252513062;0,256365461;0,315428609
18.07.2017;0,222433798;0,2763739;0,226124181;0,248286904;0,300353702
19.07.2017;0,212567127;0,262060893;0,208287669;0,236785247;0,288488577
20.07.2017;0,2075281;0,249614056;0,231096761;0,268016029;0,28037377
21.07.2017;0,214774212;0,243616824;0,254968082;0,281469492;0,278802277
22.07.2017;0,216714783;0,23929438;0,246318487;0,289072729;0,275522738
23.07.2017;0,25609278;0,279900018;0,303960107;0,32148148;0,273626966
24.07.2017;0,286195627;0,330708578;0,330761026;0,34218957;0,315103054
25.07.2017;0,286675232;0,374444862;0,328112607;0,34217568;0,381469478
26.07.2017;0,324064554;0,555335617;0,527283144;0,444006786;0,517555092
27.07.2017;0,305805023;0,459830711;0,332336456;0,35703856;0,404611248
08.08.2017;0,316910661;0,404183872;0,321739406;0,344793302;0,337107452
09.08.2017;0,351399423;0,492281448;0,41090335;0,423148709;0,43316482
10.08.2017;0,339232241;0,457292652;0,395273287;0,394683071;0,40878207
11.08.2017;0,391462815;0,508811933;0,39271913;0,442410372;0,449567328
12.08.2017;0,333110248;0,428728485;0,344336073;0,385202684;0,395982634
13.08.2017;0,325178404;0,415952335;0,343655803;0,378365181;0,382613903
14.08.2017;0,321980454;0,405997389;0,336291378;0,364600372;0,372505692
15.08.2017;0,328028197;0,395873812;0,321744541;0,347425646;0,364567964
16.08.2017;0,3454256;0,412402754;0,347027542;0,384531525;0,371874405
17.08.2017;0,330722049;0,395627806;0,338385803;0,360442807;0,365006816
18.08.2017;0,328316476;0,401338329;0,33059323;0,362427303;0,367106224
19.08.2017;0,352756949;0,440457684;0,350089956;0,407740813;0,410306705
20.08.2017;0,344787916;0,419636498;0,347306317;0,383804567;0,387145813
21.08.2017;0,338730792;0,408360255;0,344572601;0,363201229;0,378478683
22.08.2017;0,333333678;0,398270099;0,339543333;0,350418999;0,364899226
23.08.2017;0,325962392;0,389539348;0,328540339;0,33402303;0,35942575
24.08.2017;0,313805579;0,379920985;0,30830184;0,311618627;0,34993187
25.08.2017;0,301427944;0,370847402;0,287773963;0,296279057;0,338839411
26.08.2017;0,290895165;0,361740696;0,277770859;0,282587011;0,330580696
27.08.2017;0,281051655;0,351831146;0,269165476;0,270177765;0,322477538
28.08.2017;0,286187644;0,339894129;0,255734198;0,260615775;0,315044942
29.08.2017;0,274313537;0,325142893;0,239323424;0,24376487;0,305495421
30.08.2017;0,262812246;0,313236065;0,225122158;0,219674581;0,295209675
31.08.2017;0,275114836;0,311399112;0,256190334;0,24490536;0,290148401
01.09.2017;0,358807814;0,452336674;0,34652984;0,334041782;0,391796466
02.09.2017;0,464774933;0,579114312;0,513869235;0,494014212;0,551237374
03.09.2017;0,373209457;0,496466578;0,345357732;0,3404682;0,412352903
04.09.2017;0,356626822;0,434559275;0,343565946;0,330928528;0,387790181
05.09.2017;0,356214139;0,422553959;0,343964142;0,326147392;0,380056746
06.09.2017;0,353685106;0,409167861;0,341660379;0,319686381;0,366571837
07.09.2017;0,342674764;0,40133055;0,338483114;0,313116024;0,360315638
08.09.2017;0,347033806;0,393132817;0,333517329;0,304473113;0,358987665
09.09.2017;0,358692257;0,391571633;0,332208251;0,302978178;0,354463225
10.09.2017;0,384563699;0,440483716;0,345099887;0,336397326;0,399636927
11.09.2017;0,374628539;0,41699721;0,342476423;0,32694362;0,384119023
12.09.2017;0,373329076;0,410679127;0,34179921;0,322844046;0,380697091
13.09.2017;0,369354805;0,403223657;0,340222852;0,327576638;0,380853597
14.09.2017;0,378887874;0,41810774;0,341580091;0,343438105;0,389871103
15.09.2017;0,375470687;0,411935444;0,341988081;0,346439942;0,397826387
16.09.2017;0,387724476;0,432933482;0,34430793;0,371994906;0,410098776
17.09.2017;0,402409007;0,478151376;0,345298231;0,381508842;0,435824583
18.09.2017;0,39041807;0,437968212;0,343274485;0,374410401;0,405090541
