GW_GW_INdt;SM1;SM2;SM3;SM4;SM5
09.06.2017;0,3294894;0,349560288;0,2410562;0,330101408;0,324273908
10.06.2017;0,346373811;0,346134457;0,265387728;0,364121207;0,325038589
11.06.2017;0,316922395;0,340900874;0,227497515;0,308524173;0,316076652
12.06.2017;0,294287389;0,329091854;0,190592106;0,25380245;0,302980683
13.06.2017;0,261050752;0,315732056;0,173263942;0,220895694;0,286177317
14.06.2017;0,226950726;0,298880636;0,157904362;0,194904166;0,26624161
15.06.2017;0,216287426;0,28100663;0,152015665;0,188614837;0,250350092
16.06.2017;0,34165136;0,311378133;0,216845666;0,33324739;0,28935311
17.06.2017;0,321387577;0,324290889;0,209663914;0,297894391;0,298849088
18.06.2017;0,277212549;0,303352911;0,179271366;0,237681113;0,274015402
19.06.2017;0,223571014;0,282812667;0,16032938;0,202318781;0,252857451
20.06.2017;0,2021745;0,265053156;0,150764295;0,184803802;0,236776485
21.06.2017;0,187717472;0,247475518;0,1438294;0,173254861;0,22312034
22.06.2017;0,178425373;0,23269436;0,138688911;0,16504476;0,210015664
23.06.2017;0,169947202;0,219534664;0,131870919;0,156438775;0,197012576
24.06.2017;0,165097002;0,211018787;0,127610677;0,15089827;0,188112559
25.06.2017;0,253900594;0,202621075;0,170346511;0,246173152;0,1974881
26.06.2017;0,278418947;0,22696336;0,191443873;0,274160843;0,231496393
27.06.2017;0,347806092;0,328844571;0,229960935;0,362360258;0,30908788
28.06.2017;0,339216642;0,324680376;0,224322963;0,346809578;0,298500495
29.06.2017;0,353156937;0,333428149;0,254249484;0,386235321;0,318166577
30.06.2017;0,355120458;0,348903027;0,249437025;0,378460593;0,319376435
01.07.2017;0,353435642;0,346900774;0,245348266;0,372547588;0,313886994
02.07.2017;0,353133908;0,343326697;0,250227141;0,375061758;0,312132139
03.07.2017;0,364651356;0,347956243;0,258275439;0,387834941;0,322625394
04.07.2017;0,352089383;0,344371079;0,234688749;0,3531685;0,306283108
05.07.2017;0,338661878;0,336649538;0,195973821;0,322255848;0,295847383
06.07.2017;0,327953789;0,331306798;0,161468814;0,302650519;0,291887004
07.07.2017;0,315731344;0,327316607;0,144933167;0,287582129;0,288907286
08.07.2017;0,373942449;0,358959505;0,198479266;0,375501102;0,324451114
09.07.2017;0,371609611;0,354571867;0,208817926;0,382107529;0,322736752
10.07.2017;0,389016985;0,356590939;0,229251324;0,394729133;0,328631973
11.07.2017;0,396269599;0,362231902;0,231690128;0,394736605;0,328718721
12.07.2017;0,391700217;0,359266144;0,231107981;0,391408633;0,323355829
13.07.2017;0,405263844;0,367675656;0,248245294;0,404925236;0,339671182
14.07.2017;0,414262194;0,362644716;0,253270577;0,411515593;0,342760396
15.07.2017;0,413960076;0,366726939;0,251246163;0,410017632;0,347953933
16.07.2017;0,389967466;0,364875596;0,228714379;0,386212113;0,33820118
17.07.2017;0,365728035;0,360106886;0,201300937;0,356329489;0,331666473
18.07.2017;0,367128656;0,347981066;0,196143872;0,358073037;0,328612604
19.07.2017;0,391276581;0,359328449;0,226127425;0,392026974;0,340507069
20.07.2017;0,432115323;0,379073082;0,264350782;0,425180504;0,358076053
21.07.2017;0,431095982;0,382570798;0,272153227;0,418237209;0,352158145
22.07.2017;0,419295802;0,373902696;0,274976039;0,409412557;0,349459763
23.07.2017;0,442378558;0,384991737;0,287440307;0,426439735;0,358855195
24.07.2017;0,462225178;0,37910007;0,309112809;0,445358197;0,363171687
25.07.2017;0,466696575;0,381695815;0,312981079;0,447181253;0,365601005
26.07.2017;0,498319231;0,399155535;0,328140837;0,471514998;0,383120754
27.07.2017;0,438879419;0,372455713;0,297612075;0,426340486;0,355562724
08.08.2017;0,347689556;0,383915801;0,257875644;0,416458578;0,371499356
09.08.2017;0,373170924;0,407372501;0,291762776;0,443558789;0,393639411
10.08.2017;0,376319737;0,395651441;0,296277019;0,432826339;0,388527482
11.08.2017;0,385697329;0,393439557;0,314533215;0,440541533;0,397231128
12.08.2017;0,375538264;0,379390456;0,308423582;0,427615955;0,369223316
13.08.2017;0,36299484;0,379869492;0,301436449;0,408423526;0,360673575
14.08.2017;0,356768105;0,373977695;0,293808779;0,39657956;0,355358601
15.08.2017;0,359619172;0,374550636;0,290236591;0,394587193;0,356083296
16.08.2017;0,395406177;0,393910858;0,314576946;0,432247342;0,388947935
17.08.2017;0,37302224;0,377451644;0,290684583;0,401050107;0,359498972
18.08.2017;0,365832582;0,371993814;0,2725159;0,387294832;0,356321976
19.08.2017;0,427924947;0,39205131;0,320607581;0,444445488;0,394223543
20.08.2017;0,402258198;0,380240037;0,318946396;0,409743951;0,368893911
21.08.2017;0,387498867;0,375848744;0,326395154;0,384872231;0,360286601
22.08.2017;0,365069415;0,36842491;0,315539982;0,367260336;0,359450086
23.08.2017;0,348192992;0,363919699;0,279511651;0,329669345;0,354569176
24.08.2017;0,354812552;0,365839099;0,26906563;0,317939444;0,362956885
25.08.2017;0,394398358;0,389726135;0,321124304;0,39465099;0,379747778
26.08.2017;0,370467867;0,374830351;0,297808589;0,373090407;0,364920744
27.08.2017;0,359096279;0,367907331;0,27880985;0,358355358;0,358401432
28.08.2017;0,34782771;0,36309843;0,259664805;0,33596341;0,353373456
29.08.2017;0,329064577;0,356056961;0,224550826;0,29050161;0,346737936
30.08.2017;0,305081924;0,34749566;0,193641415;0,249710845;0,339300674
31.08.2017;0,326653206;0,348632586;0,217311538;0,269653329;0,349520449
01.09.2017;0,476770257;0,419747036;0,344774143;0,428284119;0,45744797
02.09.2017;0,514035968;0,453138835;0,358118216;0,460515583;0,490594712
03.09.2017;0,494248197;0,431211646;0,349657561;0,446805313;0,444740475
04.09.2017;0,451829153;0,39306547;0,334962831;0,410082081;0,38581189
05.09.2017;0,452826057;0,392454539;0,349707267;0,424838615;0,392536376
06.09.2017;0,451445214;0,390508324;0,35732572;0,435554447;0,394381405
07.09.2017;0,465916231;0,390787715;0,356163352;0,432831442;0,394313022
08.09.2017;0,45072579;0,386387842;0,334965789;0,408823847;0,373919971
09.09.2017;0,460072609;0,383276763;0,3350121;0,414386155;0,387297594
10.09.2017;0,502846307;0,40908741;0,355951488;0,442491731;0,429039902
11.09.2017;0,473066716;0,392486857;0,346382552;0,410472311;0,388262842
12.09.2017;0,488650439;0,3956189;0,364001266;0,420247177;0,403335804
13.09.2017;0,471411088;0,39281868;0,359075219;0,406503157;0,388521879
14.09.2017;0,483198151;0,393821443;0,370320954;0,428109004;0,401580356
15.09.2017;0,472411174;0,395418119;0,362711308;0,419988636;0,392882202
16.09.2017;0,500083871;0,410658008;0,389386031;0,464606099;0,444652256
17.09.2017;0,490957877;0,397808838;0,385342345;0,450909047;0,41490453
18.09.2017;0,485577198;0,391620591;0,383267593;0,444597465;0,405092128
19.09.2017;0,49226041;0,393026374;0,390829775;0,451741827;0,406399379
20.09.2017;0,489590313;0,391346202;0,380112082;0,449922956;0,40861144
21.09.2017;0,473415479;0,391271232;0,358571569;0,425771192;0,388868912
22.09.2017;0,481563483;0,389358076;0,338764824;0,418774383;0,383883294
23.09.2017;0,478048132;0,38718551;0,340970022;0,415975728;0,380840208
24.09.2017;0,478292498;0,385418393;0,343980391;0,419293001;0,380285211
25.09.2017;0,481371932;0,386281323;0,334117739;0,420880328;0,379712177
26.09.2017;0,485102048;0,382937643;0,349858538;0,432783161;0,380694723
27.09.2017;0,510350149;0,390378835;0,375945651;0,462875846;0,397779945
28.09.2017;0,492843658;0,393130203;0,346146312;0,444856092;0,387224497
29.09.2017;0,487626603;0,390385381;0,346844664;0,444926616;0,383331278
30.09.2017;0,492809181;0,392188234;0,35818092;0,453650674;0,387982417
01.10.2017;0,543646431;0,420822717;0,41173148;0,4972752;0,442840794
02.10.2017;0,508257038;0,393971251;0,382878528;0,481054384;0,399010223
03.10.2017;0,541934751;0,422442542;0,419676777;0,522668966;0,440619251
04.10.2017;0,51127938;0,397265566;0,386542598;0,494316752;0,398481344
05.10.2017;0,508547893;0,398160201;0,390832474;0,491643801;0,400834652
06.10.2017;0,540294769;0,415949136;0,438197926;0,534058637;0,455717758
07.10.2017;0,516713654;0,396602358;0,407232596;0,511878386;0,413793283
08.10.2017;0,511338076;0,390368426;0,40901374;0,508259493;0,403034625
09.10.2017;0,509565401;0,384488313;0,399558459;0,509507519;0,40268732
10.10.2017;0,509990827;0,390802336;0,384530635;0,499598891;0,396682034
11.10.2017;0,501269747;0,392765111;0,387889908;0,493989588;0,389994436
12.10.2017;0,491831996;0,389582227;0,379661785;0,486600225;0,385953264
13.10.2017;0,486665053;0,38664234;0,371698411;0,479485563;0,382563843
14.10.2017;0,480548095;0,383991664;0,362066305;0,474461885;0,379944957
15.10.2017;0,473662061;0,381395621;0,347534164;0,468048646;0,376663412
16.10.2017;0,465499451;0,379386282;0,333194638;0,458829088;0,373626338
17.10.2017;0,455213101;0,376038191;0,321991838;0,446846485;0,371418872
18.10.2017;0,443608294;0,373633711;0,310403043;0,435170169;0,369408255
19.10.2017;0,430534753;0,371693082;0,298090892;0,4261989;0,367075465
20.10.2017;0,417584958;0,368384398;0,286973167;0,419534293;0,364982405
21.10.2017;0,407414233;0,366831338;0,275171694;0,415184828;0,363703686
22.10.2017;0,450273403;0,362235057;0,326691542;0,461699558;0,369874417
23.10.2017;0,521189247;0,394851312;0,398564788;0,528594352;0,425497906
24.10.2017;0,516998131;0,40625855;0,379364669;0,513670104;0,418798873
25.10.2017;0,500369098;0,401265843;0,359259476;0,49269195;0,398845739
26.10.2017;0,488295624;0,39377783;0,347057935;0,481150459;0,391591467
27.10.2017;0,541903685;0,466610633;0,389260666;0,535371827;0,464331303
28.10.2017;0,519598533;0,414013139;0,364236195;0,50725531;0,408535696
29.10.2017;0,538679154;0,451721343;0,398274425;0,541553527;0,465233832
30.10.2017;0,523253742;0,417848838;0,373026135;0,519354252;0,414000233
31.10.2017;0,499386049;0,398636807;0,361245697;0,495936871;0,39532613
01.11.2017;0,493971983;0,394458918;0,359052424;0,491513229;0,390848988
