FE_EB_EXdt;SM1;SM2;SM3;SM4;SM5
21.08.2017;0,351894357;0,470803618;0,350545006;0,292720535;0,435994047
22.08.2017;0,340265706;0,456478399;0,33721481;0,262283692;0,422912974
23.08.2017;0,321216866;0,442198889;0,319705971;0,235987106;0,408878806
24.08.2017;0,289391379;0,423675392;0,293140037;0,208471775;0,391113877
25.08.2017;0,265902053;0,406471775;0,268036241;0,189549604;0,375123605
26.08.2017;0,250602045;0,392483321;0,245216799;0,178628042;0,360774098
27.08.2017;0,231989623;0,378288712;0,224466421;0,168084599;0,346062738
28.08.2017;0,218339602;0,365804405;0,21011384;0,159854049;0,33224362
29.08.2017;0,206367993;0,349797105;0,197252509;0,147240492;0,308495498
30.08.2017;0,196504825;0,331988921;0,187032808;0,133700748;0,281088589
31.08.2017;0,24285871;0,333887703;0,203732371;0,133860173;0,263638805
01.09.2017;0,338241823;0,504100016;0,292582881;0,220709348;0,432118219
02.09.2017;0,380634457;0,639356151;0,302730811;0,302968512;0,574023204
03.09.2017;0,334645089;0,503425851;0,293197002;0,298463122;0,470478665
04.09.2017;0,321313236;0,477597505;0,290114152;0,296535219;0,44901008
05.09.2017;0,318044285;0,467153095;0,287621999;0,298177795;0,433388068
06.09.2017;0,311966818;0,453764591;0,280397894;0,286735998;0,419238735
07.09.2017;0,306555402;0,445641177;0,274581808;0,286940331;0,409867786
08.09.2017;0,29623834;0,436613486;0,266008207;0,273136444;0,402931696
09.09.2017;0,296765091;0,427649466;0,261754427;0,273082388;0,396942103
10.09.2017;0,341773318;0,489514031;0,318817435;0,346888018;0,454518427
11.09.2017;0,336032952;0,473922895;0,31211871;0,328908825;0,441126903
12.09.2017;0,337443051;0,467177949;0,301773865;0,333540046;0,428186091
13.09.2017;0,331249817;0,460067676;0,290205824;0,321907189;0,418808846
14.09.2017;0,344815334;0,470297501;0,307450874;0,327660304;0,432449827
15.09.2017;0,342850778;0,476359956;0,32109543;0,3310263;0,439126522
