GW_EB_INdt;SM1;SM2;SM3;SM4;SM5
16.09.2017;0,345921683;0,34732765;0,403309932;0,450000391;0,462446497
17.09.2017;0,340967253;0,344409947;0,393276011;0,441131637;0,454505643
18.09.2017;0,33730247;0,341585806;0,382529563;0,439865576;0,449863797
19.09.2017;0,33808828;0,340915737;0,382938557;0,444082749;0,451488103
20.09.2017;0,339042193;0,340735437;0,384706377;0,446207074;0,452598552
21.09.2017;0,321438546;0,330280854;0,365952375;0,428604521;0,435583836
22.09.2017;0,31066798;0,327212461;0,360015201;0,420959335;0,428795515
23.09.2017;0,302135603;0,323247692;0,354999843;0,413448277;0,423464901
24.09.2017;0,299452541;0,322767303;0,356209475;0,412878549;0,421650567
25.09.2017;0,298562688;0,321407264;0,355132484;0,41238021;0,421289599
26.09.2017;0,303165855;0,322585838;0,362235271;0,417476152;0,424104986
27.09.2017;0,333162963;0,335217983;0,385373401;0,444430328;0,447442731
28.09.2017;0,319617518;0,328324786;0,372588447;0,427177508;0,432338235
29.09.2017;0,313353972;0,325506573;0,369834079;0,421438337;0,428174732
30.09.2017;0,313747778;0,325310569;0,374991558;0,425776627;0,430862428
01.10.2017;0,360581887;0,350949548;0,409407822;0,461184575;0,472369321
02.10.2017;0,339716541;0,338374944;0,389460688;0,437609331;0,448177637
03.10.2017;0,360698833;0,34969305;0,416413609;0,461459788;0,473211499
04.10.2017;0,341275279;0,336917403;0,386632681;0,431290013;0,448612469
05.10.2017;0,338910405;0,335312772;0,389562363;0,439508505;0,452136095
06.10.2017;0,363180308;0,354703796;0,433003671;0,478210611;0,489788612
07.10.2017;0,356834787;0,343133101;0,409558182;0,458167406;0,466496796
08.10.2017;0,356789745;0,343811645;0,415713738;0,458950797;0,459603287
09.10.2017;0,357273027;0,3445438;0,418911051;0,461898219;0,459460793
10.10.2017;0,350965689;0,340313637;0,409026444;0,454746151;0,453773127
11.10.2017;0,34314768;0,332651941;0,400506686;0,441985599;0,445126628
12.10.2017;0,333690648;0,327639891;0,396031894;0,431197483;0,441082891
13.10.2017;0,317930104;0,323638385;0,385766984;0,43088661;0,435234062
14.10.2017;0,29973032;0,321381876;0,371801088;0,424614436;0,429736584
15.10.2017;0,28585952;0,316673291;0,369056084;0,418331698;0,424478872
16.10.2017;0,26957652;0,31182028;0,361126;0,411069553;0,419400798
17.10.2017;0,251976565;0,305580471;0,348492363;0,404276594;0,413980181
18.10.2017;0,235891956;0,301405296;0,334189452;0,396137154;0,408818757
19.10.2017;0,221739472;0,298485055;0,328018586;0,386358712;0,403181412
20.10.2017;0,208366947;0,292849646;0,323466119;0,378050121;0,399456676
