GW_GW_EXdt;SM1;SM2;SM3;SM4;SM5
25.10.2017;0,347471745;0,443361963;0,348051474;0,443964848;0,360696959
26.10.2017;0,345780248;0,43441038;0,345095739;0,43325714;0,355280941
27.10.2017;0,36921032;0,495485146;0,372111613;0,473418528;0,389631201
28.10.2017;0,354125607;0,460490368;0,354588017;0,456484007;0,369437602
29.10.2017;0,370482091;0,494873546;0,376694054;0,487823265;0,398050108
30.10.2017;0,355598824;0,464249258;0,35400435;0,469203749;0,374091798
31.10.2017;0,3482787;0,440667035;0,345979713;0,450016558;0,35970705
01.11.2017;0,346686632;0,435872881;0,345748027;0,445347746;0,357059197
02.11.2017;0,346639689;0,43401378;0,345920324;0,442175225;0,356188536
03.11.2017;0,352348328;0,447267838;0,3560948;0,463603902;0,367253184
