EB_EB_EXdt;SM1;SM2;SM3;SM4;SM5
18.05.2017;0,337807013;0,329191808;0,312692892;0,389122616;0,328626381
19.05.2017;0,339862378;0,328382214;0,316734999;0,408633966;0,329038767
20.05.2017;0,360684437;0,337087042;0,330317589;0,442800457;0,334622904
21.05.2017;0,361654452;0,336283873;0,328963832;0,448552022;0,33343123
22.05.2017;0,34934226;0,333811024;0,322545696;0,429423518;0,330807361
23.05.2017;0,329809807;0,329047842;0,309522445;0,402526601;0,326697589
24.05.2017;0,323152656;0,325372942;0,306781672;0,397080086;0,324775589
25.05.2017;0,366060701;0,337828388;0,33455421;0,445462984;0,336227048
26.05.2017;0,338920104;0,333921591;0,318734267;0,413255336;0,331054708
27.05.2017;0,306295251;0,327682226;0,295544942;0,383590935;0,325696846
28.05.2017;0,260459324;0,318617318;0,263397793;0,353130533;0,318753371
29.05.2017;0,221477688;0,308094288;0,235825603;0,324456944;0,310852209
30.05.2017;0,205328551;0,298825828;0,22057928;0,299830594;0,30153461
31.05.2017;0,317255034;0,310014312;0,315118808;0,393761205;0,322446383
01.06.2017;0,327612661;0,323118151;0,325926734;0,408551211;0,3324784
02.06.2017;0,362012819;0,34156354;0,344168016;0,447833329;0,342648539
03.06.2017;0,366566771;0,341276137;0,338968455;0,434502442;0,34011174
04.06.2017;0,374778802;0,342354568;0,343410662;0,446018815;0,342045406
05.06.2017;0,378580805;0,343580694;0,346098844;0,455728059;0,343314463
06.06.2017;0,386797593;0,344096322;0,348896885;0,466298307;0,344446491
07.06.2017;0,372733486;0,342320574;0,342221;0,450889807;0,341117389
08.06.2017;0,357382953;0,34001016;0,334927677;0,429602543;0,337422548
09.06.2017;0,350046043;0,338898659;0,330678261;0,413847039;0,335660076
10.06.2017;0,3702035;0,34085214;0,340326206;0,425075219;0,338637597
11.06.2017;0,360332412;0,339808863;0,332001915;0,407916707;0,336534776
12.06.2017;0,344404805;0,336372132;0,326525173;0,389716795;0,333245318
13.06.2017;0,324683953;0,332850158;0,311583545;0,375569479;0,330089687
14.06.2017;0,293435739;0,327526656;0,283586198;0,353572386;0,325681612
15.06.2017;0,284118258;0,324496841;0,283208204;0,349987742;0,32138256
16.06.2017;0,368663093;0,333199377;0,349488566;0,422782524;0,335609275
17.06.2017;0,349932844;0,335995372;0,338756551;0,405481823;0,335583341
18.06.2017;0,329567746;0,333326309;0,326254823;0,385467619;0,331557563
19.06.2017;0,298122218;0,328595028;0,297386135;0,361985985;0,326505979
20.06.2017;0,263098051;0,321879253;0,263821646;0,337035788;0,320278296
21.06.2017;0,238531291;0,315066652;0,242531367;0,314046968;0,313078207
22.06.2017;0,21667797;0,305855285;0,22418418;0,286517749;0,301893535
23.06.2017;0,193671608;0,287358582;0,177442878;0,247208055;0,22134132
24.06.2017;0,184088073;0,277027106;0,172711932;0,232982626;0,196613292
25.06.2017;0,25835813;0,280725981;0,242971891;0,301488968;0,207709938
26.06.2017;0,276351473;0,284416423;0,265888123;0,334831853;0,219754085
27.06.2017;0,326300115;0,289033526;0,311135641;0,383624572;0,269231959
28.06.2017;0,331243143;0,293543057;0,315591703;0,391127769;0,304734089
29.06.2017;0,363236348;0,317889838;0,333861732;0,430759572;0,34234587
